Project > Number,Project > Name,Project > Actual Start Date,Project > Projected Finish Date,Project > APM,Company (Vendor) > Name,Company Project Insurance > Expiration Date,Company Project Insurance > Insurance Type,Company Project Insurance > Policy Number
25-038-G,S&S-SCO Upgrades-Nassau County,7/8/2025,7/9/2025,"Solis Edgar, Ahern Tim",MGM FLOORING INC.,,,
25-038-G,S&S-SCO Upgrades-Nassau County,7/8/2025,7/9/2025,"Solis Edgar, Ahern Tim",CM RICHEY ELECTRICAL CONT. INC,,,
25-039-G,S&S-SCO Upgrades-Suffolk,7/7/2025,7/8/2025,Solis Edgar,MGM FLOORING INC.,,,
25-039-G,S&S-SCO Upgrades-Suffolk,7/7/2025,7/8/2025,Solis Edgar,CM RICHEY ELECTRICAL CONT. INC,,,
25-040-G,S&S-SCO Upgrades- NYC,7/14/2025,7/15/2025,"Solis Edgar, Ahern Tim",CM RICHEY ELECTRICAL CONT. INC,,,
25-040-G,S&S-SCO Upgrades- NYC,7/14/2025,7/15/2025,"Solis Edgar, Ahern Tim",MGM FLOORING INC.,,,
25-041-G,Kroger-DC-Office Reno,7/7/2025,9/5/2025,Abad Raymond,"RIDGELINE GLASS, INC.",8/10/2026,General Liability,061-0215596
25-041-G,Kroger-DC-Office Reno,7/7/2025,9/5/2025,Abad Raymond,R.V. CAREY'S PLUMBING &,9/1/2026,Umbrella/Excess,CUPA0537197
25-041-G,Kroger-DC-Office Reno,7/7/2025,9/5/2025,Abad Raymond,L.K. DEAL ELECTRICAL,6/10/2026,Workers Compensation,Q90-6000210
25-041-G,Kroger-DC-Office Reno,7/7/2025,9/5/2025,Abad Raymond,"GB SHADES, LLC",8/26/2026,Automobile Liability,1000214502
25-041-G,Kroger-DC-Office Reno,7/7/2025,9/5/2025,Abad Raymond,FEDERAL FIRE PROTECTION,1/1/2027,General Liability,GL262800R01
25-041-G,Kroger-DC-Office Reno,7/7/2025,9/5/2025,Abad Raymond,FEDERAL FIRE PROTECTION,1/1/2027,Workers Compensation,8024934
25-041-G,Kroger-DC-Office Reno,7/7/2025,9/5/2025,Abad Raymond,"GB SHADES, LLC",8/26/2026,Workers Compensation,1000034005
25-041-G,Kroger-DC-Office Reno,7/7/2025,9/5/2025,Abad Raymond,"JOHN H. HAMPSHIRE, INC",9/1/2026,Automobile Liability,CWP9937106
25-041-G,Kroger-DC-Office Reno,7/7/2025,9/5/2025,Abad Raymond,"ADVANTAGE FLOORING, INC.",1/10/2027,General Liability,Q61 0155073
25-041-G,Kroger-DC-Office Reno,7/7/2025,9/5/2025,Abad Raymond,"ADVANTAGE FLOORING, INC.",1/10/2027,Umbrella/Excess,Q25-1070208
25-041-G,Kroger-DC-Office Reno,7/7/2025,9/5/2025,Abad Raymond,FEDERAL FIRE PROTECTION,1/1/2027,Automobile Liability,CA 100020714-08
25-041-G,Kroger-DC-Office Reno,7/7/2025,9/5/2025,Abad Raymond,CONCRETE TECHNOLOGY SERVICES,10/13/2026,Umbrella/Excess,EPP 0223317
25-041-G,Kroger-DC-Office Reno,7/7/2025,9/5/2025,Abad Raymond,CONCRETE TECHNOLOGY SERVICES,10/13/2026,Automobile Liability,EPP 0223317
